Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Marquinhos,br BRA,MF,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Ethan Nwaneri,eng ENG,FW,15,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Karl Jakob Hein,ee EST,GK,20,0,0,,,,,,,,,Arsenal
Nicolas Pépé,ci CIV,"FW,MF",27,0,0,,,,,,,,,Arsenal
Matthew Smith,eng ENG,MF,22,0,0,,,,,,,,,Arsenal
Lino Sousa,eng ENG,DF,17,0,0,,,,,,,,,Arsenal
Matt Turner,us USA,GK,28,0,0,,,,,,,,,Arsenal
Squad Total,,,,14,154,1260.0,32.0,24.0,1.0,23.0,0.0,26.2,18.3,Arsenal
Ederson,br BRA,GK,29,14,14,1260.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,Manchester-City
João Cancelo,pt POR,DF,28,14,14,1116.0,2.0,1.0,0.0,3.0,1.0,0.7,0.8,Manchester-City
Kevin De Bruyne,be BEL,MF,31,14,13,1131.0,3.0,9.0,0.0,0.0,0.0,2.5,6.0,Manchester-City
Rodri,es ESP,MF,26,13,13,1122.0,0.0,3.0,0.0,1.0,0.0,1.2,0.8,Manchester-City
Bernardo Silva,pt POR,"MF,FW",28,14,12,1068.0,2.0,5.0,0.0,1.0,0.0,1.3,1.8,Manchester-City
Erling Haaland,no NOR,FW,22,13,12,1037.0,18.0,3.0,3.0,2.0,0.0,11.1,2.8,Manchester-City
Phil Foden,eng ENG,"FW,DF",22,14,11,908.0,7.0,4.0,0.0,1.0,0.0,3.7,2.0,Manchester-City
İlkay Gündoğan,de GER,MF,32,12,10,891.0,2.0,2.0,0.0,0.0,0.0,2.1,2.1,Manchester-City
Rúben Dias,pt POR,DF,25,12,9,873.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,Manchester-City
John Stones,eng ENG,DF,28,9,8,731.0,0.0,2.0,0.0,1.0,0.0,0.4,1.3,Manchester-City
Manuel Akanji,ch SUI,DF,27,8,8,701.0,0.0,1.0,0.0,1.0,0.0,0.5,0.1,Manchester-City
Nathan Aké,nl NED,DF,27,8,7,571.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,Manchester-City
Kyle Walker,eng ENG,DF,32,7,7,560.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,Manchester-City
Jack Grealish,eng ENG,FW,27,8,6,547.0,1.0,0.0,0.0,0.0,0.0,0.9,1.2,Manchester-City
Riyad Mahrez,dz ALG,"FW,MF",31,9,4,372.0,1.0,0.0,0.0,1.0,0.0,1.2,0.5,Manchester-City
Julián Álvarez,ar ARG,"FW,MF",22,12,3,364.0,3.0,0.0,0.0,0.0,0.0,1.3,0.4,Manchester-City
Aymeric Laporte,es ESP,DF,28,4,3,286.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,Manchester-City
Sergio Gómez,es ESP,"DF,MF",22,5,0,111.0,0.0,1.0,0.0,0.0,0.0,0.1,0.4,Manchester-City
Cole Palmer,eng ENG,"FW,MF",20,7,0,106.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,Manchester-City
Rico Lewis,eng ENG,"DF,MF",18,3,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Kalvin Phillips,eng ENG,MF,26,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Scott Carson,eng ENG,GK,37,0,0,,,,,,,,,Manchester-City
Liam Delap,eng ENG,FW,19,0,0,,,,,,,,,Manchester-City
Claudio Gomes,fr FRA,MF,22,0,0,,,,,,,,,Manchester-City
Ben Knight,eng ENG,MF,20,0,0,,,,,,,,,Manchester-City
Luke Mbete-Tatu,eng ENG,DF,19,0,0,,,,,,,,,Manchester-City
Stefan Ortega,de GER,GK,30,0,0,,,,,,,,,Manchester-City
Josh Wilson-Esbrand,eng ENG,DF,19,0,0,,,,,,,,,Manchester-City
Squad Total,,,,14,154,1260.0,39.0,32.0,3.0,11.0,1.0,27.6,20.6,Manchester-City
Nick Pope,eng ENG,GK,30,15,15,1350.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Newcastle-United
Kieran Trippier,eng ENG,DF,32,15,15,1324.0,1.0,3.0,0.0,3.0,0.0,0.4,3.7,Newcastle-United
Miguel Almirón,py PAR,FW,28,15,15,1255.0,8.0,1.0,0.0,0.0,0.0,4.6,1.1,Newcastle-United
Fabian Schär,ch SUI,DF,30,14,14,1243.0,1.0,0.0,0.0,4.0,0.0,0.9,0.4,Newcastle-United
Dan Burn,eng ENG,DF,30,15,14,1224.0,0.0,0.0,0.0,2.0,0.0,0.4,0.1,Newcastle-United
Joe Willock,eng ENG,MF,23,15,13,1114.0,2.0,2.0,0.0,0.0,0.0,2.9,3.1,Newcastle-United
Joelinton,br BRA,"MF,FW",26,13,12,1060.0,1.0,1.0,0.0,5.0,0.0,2.3,0.9,Newcastle-United
Sven Botman,nl NED,DF,22,13,12,1057.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,Newcastle-United
Bruno Guimarães,br BRA,MF,25,12,12,992.0,3.0,2.0,0.0,1.0,0.0,0.8,1.3,Newcastle-United
Sean Longstaff,eng ENG,MF,25,15,11,1056.0,1.0,2.0,0.0,2.0,0.0,1.2,1.8,Newcastle-United
Callum Wilson,eng ENG,FW,30,11,10,787.0,6.0,2.0,1.0,1.0,0.0,6.1,0.6,Newcastle-United
Jacob Murphy,eng ENG,FW,27,15,5,489.0,1.0,1.0,0.0,0.0,0.0,0.8,0.6,Newcastle-United
Matt Targett,eng ENG,DF,27,10,4,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,Newcastle-United
Allan Saint-Maximin,fr FRA,FW,25,7,4,378.0,1.0,3.0,0.0,1.0,0.0,0.8,1.2,Newcastle-United
Ryan Fraser,sct SCO,FW,28,8,3,313.0,0.0,0.0,0.0,1.0,0.0,0.3,0.4,Newcastle-United
Alexander Isak,se SWE,FW,23,3,3,242.0,2.0,0.0,1.0,0.0,0.0,2.2,0.3,Newcastle-United
Chris Wood,nz NZL,FW,30,14,2,272.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3,Newcastle-United
Jamaal Lascelles,eng ENG,DF,29,4,1,107.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Newcastle-United
Elliot Anderson,sct SCO,"FW,MF",20,7,0,103.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Newcastle-United
Jonjo Shelvey,eng ENG,MF,30,3,0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Javier Manquillo,es ESP,DF,28,1,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Jamal Lewis,nir NIR,DF,24,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Emil Krafth,se SWE,DF,28,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Matt Ritchie,sct SCO,FW,33,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Karl Darlow,eng ENG,GK,32,0,0,,,,,,,,,Newcastle-United
Martin Dúbravka,sk SVK,GK,33,0,0,,,,,,,,,Newcastle-United
Paul Dummett,wls WAL,DF,31,0,0,,,,,,,,,Newcastle-United
Loris Karius,de GER,GK,29,0,0,,,,,,,,,Newcastle-United
Squad Total,,,,15,165,1350.0,28.0,17.0,2.0,24.0,0.0,24.3,17.1,Newcastle-United
Hugo Lloris,fr FRA,GK,35,15,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur
Harry Kane,eng ENG,FW,29,15,15,1335.0,12.0,1.0,2.0,4.0,0.0,9.4,2.4,Tottenham-Hotspur
Eric Dier,eng ENG,DF,28,15,14,1285.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,Tottenham-Hotspur
Pierre Højbjerg,dk DEN,MF,27,14,14,1244.0,3.0,2.0,0.0,1.0,0.0,0.9,1.3,Tottenham-Hotspur
Rodrigo Bentancur,uy URU,MF,25,14,13,1182.0,4.0,2.0,0.0,5.0,0.0,1.4,0.8,Tottenham-Hotspur
Son Heung-min,kr KOR,"MF,FW",30,13,12,1030.0,3.0,2.0,0.0,0.0,0.0,3.5,2.7,Tottenham-Hotspur
Ben Davies,wls WAL,DF,29,12,11,995.0,2.0,1.0,0.0,1.0,0.0,0.5,1.3,Tottenham-Hotspur
Emerson,br BRA,DF,23,12,11,899.0,0.0,1.0,0.0,1.0,1.0,1.0,0.3,Tottenham-Hotspur
Ivan Perišić,hr CRO,"DF,MF",33,15,9,833.0,0.0,4.0,0.0,2.0,0.0,0.9,3.0,Tottenham-Hotspur
Ryan Sessegnon,eng ENG,DF,22,12,8,662.0,2.0,0.0,0.0,3.0,0.0,1.4,0.7,Tottenham-Hotspur
Cristian Romero,ar ARG,DF,24,8,7,658.0,0.0,0.0,0.0,1.0,0.0,0.6,0.3,Tottenham-Hotspur
Dejan Kulusevski,se SWE,"MF,FW",22,9,7,611.0,1.0,5.0,0.0,0.0,0.0,1.0,2.2,Tottenham-Hotspur
Clément Lenglet,fr FRA,DF,27,8,7,571.0,0.0,1.0,0.0,0.0,0.0,0.6,0.4,Tottenham-Hotspur
Yves Bissouma,ml MLI,MF,26,14,6,606.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,Tottenham-Hotspur
Davinson Sánchez,co COL,DF,26,10,6,531.0,0.0,0.0,0.0,1.0,0.0,0.3,0.1,Tottenham-Hotspur
Richarlison,br BRA,"MF,FW",25,10,5,439.0,0.0,2.0,0.0,2.0,0.0,1.6,1.3,Tottenham-Hotspur
Matt Doherty,ie IRL,DF,30,8,3,351.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,Tottenham-Hotspur
Oliver Skipp,eng ENG,MF,22,6,2,130.0,0.0,0.0,0.0,1.0,0.0,0.1,0.2,Tottenham-Hotspur
Lucas Moura,br BRA,"MF,DF",30,8,0,98.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Tottenham-Hotspur
Bryan,es ESP,MF,21,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur
Djed Spence,eng ENG,"DF,MF",22,3,0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Tottenham-Hotspur
Fraser Forster,eng ENG,GK,34,0,0,,,,,,,,,Tottenham-Hotspur
Pape Matar Sarr,sn SEN,MF,20,0,0,,,,,,,,,Tottenham-Hotspur
Japhet Tanganga,eng ENG,DF,23,0,0,,,,,,,,,Tottenham-Hotspur
Harvey White,eng ENG,MF,21,0,0,,,,,,,,,Tottenham-Hotspur
Squad Total,,,,15,165,1350.0,29.0,21.0,2.0,26.0,1.0,24.1,17.8,Tottenham-Hotspur
David de Gea,es ESP,GK,32,14,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Manchester-United
Lisandro Martínez,ar ARG,DF,24,14,14,1204.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,Manchester-United
Bruno Fernandes,pt POR,"MF,FW",28,13,13,1169.0,2.0,1.0,0.0,5.0,0.0,2.0,3.2,Manchester-United
Diogo Dalot,pt POR,DF,23,13,13,1165.0,0.0,1.0,0.0,5.0,0.0,0.6,1.3,Manchester-United
Marcus Rashford,eng ENG,FW,25,14,13,1126.0,4.0,2.0,0.0,1.0,0.0,4.2,2.0,Manchester-United
Christian Eriksen,dk DEN,MF,30,13,12,1043.0,1.0,4.0,0.0,1.0,0.0,2.4,1.8,Manchester-United
Jadon Sancho,eng ENG,FW,22,10,10,714.0,2.0,1.0,0.0,0.0,0.0,1.6,0.8,Manchester-United
Luke Shaw,eng ENG,DF,27,10,9,783.0,0.0,1.0,0.0,3.0,0.0,0.2,1.4,Manchester-United
Raphaël Varane,fr FRA,DF,29,10,8,684.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Manchester-United
Casemiro,br BRA,MF,30,11,7,712.0,1.0,1.0,0.0,2.0,0.0,0.5,0.8,Manchester-United
Scott McTominay,sct SCO,MF,25,12,6,640.0,0.0,0.0,0.0,5.0,0.0,0.7,0.2,Manchester-United
Tyrell Malacia,nl NED,DF,23,9,6,567.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Manchester-United
Antony,br BRA,"FW,MF",22,6,6,491.0,3.0,0.0,0.0,1.0,0.0,1.6,0.4,Manchester-United
Anthony Elanga,se SWE,FW,20,10,5,369.0,0.0,1.0,0.0,0.0,0.0,0.5,0.8,Manchester-United
Cristiano Ronaldo,pt POR,FW,37,10,4,525.0,1.0,0.0,0.0,2.0,0.0,1.9,0.4,Manchester-United
Fred,br BRA,MF,29,11,4,398.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,Manchester-United
Victor Lindelöf,se SWE,DF,28,5,3,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-United
Harry Maguire,eng ENG,DF,29,4,3,281.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,Manchester-United
Anthony Martial,fr FRA,"FW,MF",26,5,2,201.0,2.0,2.0,1.0,0.0,0.0,1.7,0.8,Manchester-United
Donny van de Beek,nl NED,MF,25,4,1,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-United
Alejandro Garnacho,es ESP,FW,18,3,1,84.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0,Manchester-United
Aaron Wan-Bissaka,eng ENG,DF,25,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-United
Nathan Bishop,eng ENG,GK,23,0,0,,,,,,,,,Manchester-United
Martin Dúbravka,sk SVK,GK,33,0,0,,,,,,,,,Manchester-United
James Garner,eng ENG,MF,21,0,0,,,,,,,,,Manchester-United
Tom Heaton,eng ENG,GK,36,0,0,,,,,,,,,Manchester-United
Zidane Iqbal,iq IRQ,MF,19,0,0,,,,,,,,,Manchester-United
Matej Kovar,cz CZE,GK,22,0,0,,,,,,,,,Manchester-United
Kobbie Mainoo,eng ENG,MF,17,0,0,,,,,,,,,Manchester-United
Facundo Pellistri,uy URU,FW,20,0,0,,,,,,,,,Manchester-United
Shola Shoretire,eng ENG,MF,18,0,0,,,,,,,,,Manchester-United
Squad Total,,,,14,154,1260.0,18.0,14.0,1.0,37.0,0.0,18.8,14.8,Manchester-United
Alisson,br BRA,GK,30,14,14,1260.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,Liverpool
Virgil van Dijk,nl NED,DF,31,14,14,1260.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Liverpool
Mohamed Salah,eg EGY,FW,30,14,14,1236.0,6.0,3.0,0.0,0.0,0.0,7.0,2.2,Liverpool
Trent Alexander-Arnold,eng ENG,DF,24,14,12,989.0,1.0,0.0,0.0,2.0,0.0,1.1,2.2,Liverpool
Fabinho,br BRA,MF,29,14,11,997.0,0.0,0.0,0.0,2.0,0.0,0.2,0.5,Liverpool
Roberto Firmino,br BRA,"FW,MF",31,13,11,929.0,7.0,3.0,0.0,0.0,0.0,4.2,1.8,Liverpool
Andrew Robertson,sct SCO,DF,28,12,10,861.0,0.0,4.0,0.0,0.0,0.0,0.4,2.4,Liverpool
Harvey Elliott,eng ENG,MF,19,14,10,859.0,1.0,1.0,0.0,0.0,0.0,1.0,2.2,Liverpool
Joe Gomez,eng ENG,DF,25,12,9,887.0,0.0,0.0,0.0,2.0,0.0,0.1,0.2,Liverpool
Thiago Alcántara,es ESP,MF,31,8,8,644.0,0.0,0.0,0.0,1.0,0.0,0.1,0.6,Liverpool
Jordan Henderson,eng ENG,MF,32,12,7,648.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,Liverpool
Luis Díaz,co COL,FW,25,8,7,613.0,3.0,2.0,0.0,2.0,0.0,1.7,1.0,Liverpool
Darwin Núñez,uy URU,FW,23,10,7,604.0,5.0,2.0,0.0,0.0,1.0,4.7,2.3,Liverpool
James Milner,eng ENG,"DF,MF",36,12,4,469.0,0.0,1.0,0.0,0.0,0.0,0.3,0.7,Liverpool
Kostas Tsimikas,gr GRE,DF,26,10,4,367.0,0.0,3.0,0.0,1.0,0.0,0.2,0.7,Liverpool
Fabio Carvalho,pt POR,"MF,FW",20,11,4,337.0,2.0,0.0,0.0,0.0,0.0,1.1,0.1,Liverpool
Joël Matip,cm CMR,DF,31,4,3,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Diogo Jota,pt POR,"FW,MF",25,4,2,196.0,0.0,1.0,0.0,1.0,0.0,0.8,0.8,Liverpool
Curtis Jones,eng ENG,MF,21,4,1,172.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,Liverpool
Ibrahima Konaté,fr FRA,DF,23,2,1,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Nathaniel Phillips,eng ENG,DF,25,2,1,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Alex Oxlade-Chamberlain,eng ENG,FW,29,3,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Liverpool
Stefan Bajcetic,es ESP,MF,18,1,0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Bobby Clark,eng ENG,MF,17,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Adrián,es ESP,GK,35,0,0,,,,,,,,,Liverpool
Luke Chambers,eng ENG,DF,18,0,0,,,,,,,,,Liverpool
Harvey Davies,eng ENG,GK,19,0,0,,,,,,,,,Liverpool
Sepp van den Berg,nl NED,"DF,MF",20,0,0,,,,,,,,,Liverpool
Ben Doak,sct SCO,FW,17,0,0,,,,,,,,,Liverpool
Naby Keïta,gn GUI,MF,27,0,0,,,,,,,,,Liverpool
Caoimhín Kelleher,ie IRL,GK,24,0,0,,,,,,,,,Liverpool
Arthur Melo,br BRA,MF,26,0,0,,,,,,,,,Liverpool
Calvin Ramsay,sct SCO,DF,19,0,0,,,,,,,,,Liverpool
Squad Total,,,,14,154,1260.0,26.0,21.0,0.0,12.0,1.0,24.2,19.1,Liverpool
Lewis Dunk,eng ENG,DF,31,14,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,Brighton-and-Hove-Albion
Robert Sánchez,es ESP,GK,25,14,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Alexis Mac Allister,ar ARG,MF,23,14,14,1256.0,5.0,0.0,3.0,4.0,0.0,3.6,0.8,Brighton-and-Hove-Albion
Moisés Caicedo,ec ECU,MF,21,14,14,1245.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,Brighton-and-Hove-Albion
Solly March,eng ENG,"DF,FW",28,14,14,1214.0,0.0,2.0,0.0,1.0,0.0,2.6,1.3,Brighton-and-Hove-Albion
Pascal Groß,de GER,"MF,FW",31,14,14,1192.0,5.0,2.0,0.0,2.0,0.0,2.7,3.4,Brighton-and-Hove-Albion
Leandro Trossard,be BEL,"FW,MF",27,14,14,1174.0,7.0,2.0,0.0,1.0,0.0,4.3,1.9,Brighton-and-Hove-Albion
Adam Webster,eng ENG,DF,27,13,13,1170.0,0.0,0.0,0.0,1.0,0.0,1.2,0.0,Brighton-and-Hove-Albion
Danny Welbeck,eng ENG,FW,32,13,11,996.0,0.0,2.0,0.0,0.0,0.0,3.0,1.8,Brighton-and-Hove-Albion
Joël Veltman,nl NED,DF,30,13,11,947.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,Brighton-and-Hove-Albion
Pervis Estupiñán,ec ECU,DF,24,11,8,631.0,0.0,0.0,0.0,3.0,0.0,0.1,1.7,Brighton-and-Hove-Albion
Adam Lallana,eng ENG,"MF,FW",34,11,8,489.0,1.0,1.0,0.0,0.0,0.0,0.8,0.8,Brighton-and-Hove-Albion
Kaoru Mitoma,jp JPN,"FW,MF",25,9,2,314.0,1.0,1.0,0.0,0.0,0.0,0.2,2.2,Brighton-and-Hove-Albion
Enock Mwepu,zm ZAM,"FW,MF",24,6,2,213.0,0.0,1.0,0.0,0.0,0.0,0.2,0.5,Brighton-and-Hove-Albion
Levi Colwill,eng ENG,DF,19,3,1,103.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Brighton-and-Hove-Albion
Tariq Lamptey,gh GHA,DF,22,11,0,188.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Brighton-and-Hove-Albion
Deniz Undav,de GER,"FW,MF",26,8,0,101.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,Brighton-and-Hove-Albion
Julio César Enciso,py PAR,"MF,FW",18,2,0,80.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,Brighton-and-Hove-Albion
Billy Gilmour,sct SCO,MF,21,4,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Jeremy Sarmiento,ec ECU,"MF,FW",20,2,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Jan Paul van Hecke,nl NED,DF,22,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Steven Alzate,co COL,MF,24,0,0,,,,,,,,,Brighton-and-Hove-Albion
Evan Ferguson,ie IRL,FW,18,0,0,,,,,,,,,Brighton-and-Hove-Albion
James Furlong,ie IRL,DF,20,0,0,,,,,,,,,Brighton-and-Hove-Albion
Neal Maupay,fr FRA,"FW,MF",26,0,0,,,,,,,,,Brighton-and-Hove-Albion
Andrew Moran,ie IRL,DF,19,0,0,,,,,,,,,Brighton-and-Hove-Albion
Jason Steele,eng ENG,GK,32,0,0,,,,,,,,,Brighton-and-Hove-Albion
Ed Turns,wls WAL,DF,20,0,0,,,,,,,,,Brighton-and-Hove-Albion
Squad Total,,,,14,154,1260.0,20.0,11.0,3.0,19.0,0.0,21.5,15.7,Brighton-and-Hove-Albion
Mason Mount,eng ENG,"MF,FW",23,14,13,1030.0,2.0,2.0,0.0,2.0,0.0,1.5,1.6,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,DF",26,14,12,954.0,0.0,0.0,0.0,1.0,0.0,0.8,0.9,Chelsea
Thiago Silva,br BRA,DF,38,12,11,1074.0,0.0,2.0,0.0,1.0,0.0,0.5,0.4,Chelsea
Raheem Sterling,eng ENG,"FW,MF",27,12,11,950.0,3.0,1.0,0.0,3.0,0.0,3.0,2.1,Chelsea
Jorginho,it ITA,MF,30,13,11,903.0,2.0,0.0,2.0,3.0,0.0,1.7,0.2,Chelsea
Kai Havertz,de GER,"FW,MF",23,13,11,883.0,3.0,0.0,0.0,3.0,0.0,2.8,0.4,Chelsea
Marc Cucurella,es ESP,DF,24,13,11,847.0,0.0,2.0,0.0,2.0,0.0,0.3,0.3,Chelsea
Edouard Mendy,sn SEN,GK,30,9,8,765.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Chelsea
Kalidou Koulibaly,sn SEN,DF,31,9,8,742.0,1.0,0.0,0.0,4.0,1.0,0.4,0.2,Chelsea
Trevoh Chalobah,eng ENG,DF,23,8,8,720.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,Chelsea
César Azpilicueta,es ESP,DF,33,11,7,672.0,0.0,0.0,0.0,2.0,0.0,0.1,0.7,Chelsea
Conor Gallagher,eng ENG,"MF,FW",22,12,7,498.0,1.0,1.0,0.0,3.0,1.0,0.5,1.3,Chelsea
Reece James,eng ENG,"DF,MF",22,7,6,559.0,1.0,1.0,0.0,3.0,0.0,0.7,1.6,Chelsea
Kepa Arrizabalaga,es ESP,GK,28,6,6,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Mateo Kovačić,hr CRO,MF,28,11,5,635.0,0.0,1.0,0.0,2.0,0.0,0.3,0.5,Chelsea
Ben Chilwell,eng ENG,"DF,MF",25,9,4,419.0,1.0,1.0,0.0,1.0,0.0,0.3,0.1,Chelsea
Pierre-Emerick Aubameyang,ga GAB,FW,33,6,4,305.0,1.0,0.0,0.0,1.0,0.0,0.2,0.3,Chelsea
Christian Pulisic,us USA,"FW,DF",24,13,3,421.0,1.0,1.0,0.0,1.0,0.0,0.9,0.5,Chelsea
Armando Broja,al ALB,FW,21,12,2,294.0,1.0,0.0,0.0,0.0,0.0,0.8,0.1,Chelsea
Wesley Fofana,fr FRA,DF,21,2,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
N'Golo Kanté,fr FRA,MF,31,2,2,174.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,Chelsea
Hakim Ziyech,ma MAR,"MF,FW",29,5,1,152.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,Chelsea
Lewis Hall,eng ENG,DF,18,1,1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Chelsea
Carney Chukwuemeka,eng ENG,MF,19,3,0,46.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Chelsea
